date,snowfall,emergency,minutes
11/01/2017,2.218687068,No Emergency,63.13641156
11/02/2017,4.519098714,Emergency,45.51860811
11/03/2017,5.12457075,Emergency,41.83612976
11/04/2017,1.301895694,No Emergency,51.25552386
11/05/2017,5.314225794,Emergency,37.5758887
11/06/2017,1.636324492,No Emergency,43.83926826
11/07/2017,4.722116045,Emergency,26.64151632
11/08/2017,1.974377208,No Emergency,35.73293118
11/09/2017,3.308924554,No Emergency,52.63903509
11/10/2017,2.756060306,No Emergency,62.95644075
11/11/2017,0.685750109,No Emergency,41.56877931
11/12/2017,0.593928253,No Emergency,30.4051056
11/13/2017,1.370369225,No Emergency,75.05910718
11/14/2017,0.27366429,No Emergency,43.61435447
11/15/2017,0.828076394,No Emergency,32.19721765
11/16/2017,0.98098706,No Emergency,53.86894031
11/17/2017,0.927972025,No Emergency,52.32800465
11/18/2017,1.996064934,No Emergency,42.78037278
11/19/2017,3.1598289,No Emergency,49.2095784
11/20/2017,2.849358299,No Emergency,61.72212424
11/21/2017,9.15720432,Emergency,48.70099554
11/22/2017,7.90784528,Emergency,31.83375905
11/23/2017,0.971240442,No Emergency,51.63523271
11/24/2017,1.940500007,No Emergency,38.94648515
11/25/2017,1.562444949,No Emergency,66.78056822
11/26/2017,3.666094013,No Emergency,37.63609384
11/27/2017,0.019751217,No Emergency,52.208286
11/28/2017,5.529108393,Emergency,44.70791324
11/29/2017,0.279496036,No Emergency,44.82701929
11/30/2017,3.088114325,No Emergency,36.75860933
12/01/2017,1.561750407,No Emergency,44.59506756
12/02/2017,0.121834575,No Emergency,41.02643745
12/03/2017,0.803939644,No Emergency,39.83486159
12/04/2017,2.382645161,No Emergency,36.50379777
12/05/2017,1.260447245,No Emergency,55.05776537
12/06/2017,2.747555904,No Emergency,44.61977575
12/07/2017,0.535256634,No Emergency,46.13395038
12/08/2017,3.678189563,No Emergency,49.71235271
12/09/2017,1.063911565,No Emergency,58.87869844
12/10/2017,0.445157369,No Emergency,59.99731863
12/11/2017,1.311689745,No Emergency,45.59172618
12/12/2017,3.233305812,No Emergency,40.65124104
12/13/2017,0.409921007,No Emergency,44.03510243
12/14/2017,0.230351204,No Emergency,54.6398606
12/15/2017,3.830065548,No Emergency,69.0650419
12/16/2017,0.996658703,No Emergency,47.17801852
12/17/2017,0.133560892,No Emergency,33.77909947
12/18/2017,2.472433091,No Emergency,47.77541347
12/19/2017,2.907973219,No Emergency,50.13687002
12/20/2017,2.717762576,No Emergency,53.20491654
12/21/2017,0.426577717,No Emergency,35.9606426
12/22/2017,0.293920889,No Emergency,37.95318788
12/23/2017,3.894758592,No Emergency,45.3995869
12/24/2017,0.710390109,No Emergency,62.57055389
12/25/2017,3.359867511,No Emergency,31.61201489
12/26/2017,2.946303794,No Emergency,53.88512989
12/27/2017,2.453119839,No Emergency,46.19380282
12/28/2017,0.684215352,No Emergency,65.15261715
12/29/2017,2.515916321,No Emergency,54.26709376
12/30/2017,4.370092223,Emergency,31.9333505
12/31/2017,2.995841776,No Emergency,59.83500841
01/01/2018,1.08319051,No Emergency,55.22043575
01/02/2018,0.942933385,No Emergency,45.3476183
01/03/2018,1.394494943,No Emergency,33.76079877
01/04/2018,1.787693335,No Emergency,54.16863961
01/05/2018,2.565186003,No Emergency,36.76585746
01/06/2018,1.550630365,No Emergency,34.28424132
01/07/2018,1.704326832,No Emergency,72.67416459
01/08/2018,0.905360667,No Emergency,30.61822786
01/09/2018,0.309442991,No Emergency,49.58082982
01/10/2018,3.122395279,No Emergency,47.28825553
01/11/2018,1.469885869,No Emergency,53.27720118
01/12/2018,6.587838051,Emergency,49.40692433
1/13/2018,0.20178278,No Emergency,53.46382017
1/14/2018,1.855202934,No Emergency,49.82225799
1/15/2018,0.031102671,No Emergency,49.77937474
1/16/2018,6.220752891,Emergency,42.02546727
1/17/2018,0.872191368,No Emergency,48.80545708
1/18/2018,1.235026593,No Emergency,35.54081532
1/19/2018,0.014786537,No Emergency,60.39391905
1/20/2018,2.958783959,No Emergency,49.26431141
